Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
3. Prettify,JsonBox (C++),canada.json,188.971691,3923792,8118104,18,0
3. Prettify,JsonBox (C++),citm_catalog.json,45.998432,889472,1938056,2734,0
3. Prettify,JsonBox (C++),twitter.json,31.146628,575456,1624040,12824,0
4. Statistics,JsonBox (C++),canada.json,1.454144,0,0,0,0
4. Statistics,JsonBox (C++),citm_catalog.json,0.705155,0,0,0,0
4. Statistics,JsonBox (C++),twitter.json,0.287619,0,0,0,0
1. Parse,jsoncons (C++),canada.json,50.315229,5367696,6138656,112113,0
1. Parse,jsoncons (C++),citm_catalog.json,14.919415,2443560,2494952,46391,0
1. Parse,jsoncons (C++),twitter.json,8.846484,1161992,1213184,11724,0
2. Stringify,jsoncons (C++),canada.json,20.630459,3932208,5898536,509,0
2. Stringify,jsoncons (C++),citm_catalog.json,3.911509,983088,1474856,22,0
2. Stringify,jsoncons (C++),twitter.json,3.476333,491568,737704,22,0
3. Prettify,jsoncons (C++),canada.json,20.031377,2090560,4187720,506,0
3. Prettify,jsoncons (C++),citm_catalog.json,3.284848,500352,1024648,19,0
3. Prettify,jsoncons (C++),twitter.json,2.862386,466960,991256,20,0
4. Statistics,jsoncons (C++),canada.json,1.383830,0,24,1,0
4. Statistics,jsoncons (C++),citm_catalog.json,0.737375,0,56,451,0
4. Statistics,jsoncons (C++),twitter.json,0.457159,0,472,2336,0
1. Parse,JsonCpp (C++),canada.json,183.165409,17852400,17855144,552083,0
1. Parse,JsonCpp (C++),citm_catalog.json,17.739233,4522160,4524784,60544,0
1. Parse,JsonCpp (C++),twitter.json,10.630727,1353984,1356608,22495,0
2. Stringify,JsonCpp (C++),canada.json,100.123101,2251072,6446376,111111,0
2. Stringify,JsonCpp (C++),citm_catalog.json,9.588563,501040,1026328,15559,0
2. Stringify,JsonCpp (C++),twitter.json,7.430745,562464,1612040,14297,0
4. Statistics,JsonCpp (C++),canada.json,10.948368,0,24,1,0
4. Statistics,JsonCpp (C++),citm_catalog.json,2.455749,0,56,451,0
