Type,Library,Test,Result
1. Parse Validation,SimpleJSON (C++),fail32,true
1. Parse Validation,SimpleJSON (C++),fail33,true
1. Parse Validation,SimpleJSON (C++),number_-9223372036854775808,true
1. Parse Validation,SimpleJSON (C++),string_2_escaped_invalid_codepoints,true
1. Parse Validation,SimpleJSON (C++),string_1_invalid_codepoint,false
1. Parse Validation,SimpleJSON (C++),object_same_key_unclear_values,true
1. Parse Validation,SimpleJSON (C++),object_key_nfc_nfd,true
1. Parse Validation,SimpleJSON (C++),string_3_escaped_invalid_codepoints,true
1. Parse Validation,SimpleJSON (C++),number_1.000000000000000005,true
1. Parse Validation,SimpleJSON (C++),string_with_escaped_NULL,true
1. Parse Validation,SimpleJSON (C++),number_1e6,true
1. Parse Validation,SimpleJSON (C++),string_3_invalid_codepoints,false
1. Parse Validation,SimpleJSON (C++),number_1.0,true
1. Parse Validation,SimpleJSON (C++),string_2_invalid_codepoints,false
1. Parse Validation,SimpleJSON (C++),number_9223372036854775807,true
1. Parse Validation,SimpleJSON (C++),number_1000000000000000,true
1. Parse Validation,SimpleJSON (C++),number_10000000000000000999,true
1. Parse Validation,SimpleJSON (C++),number_-9223372036854775809,true
1. Parse Validation,SimpleJSON (C++),object_same_key_different_values,true
