Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
2. Stringify,POCO (C++),canada,45.105238,2090288,4187448,99310,0
2. Stringify,POCO (C++),twitter,11.486010,472992,997288,24029,0
3. Prettify,POCO (C++),citm_catalog,44.733823,2014224,4111384,28153,0
3. Prettify,POCO (C++),canada,159.273079,8111424,16500040,99312,0
3. Prettify,POCO (C++),twitter,16.986386,802896,1851480,24030,0
4. Statistics,POCO (C++),citm_catalog,1.820777,0,56,451,0
4. Statistics,POCO (C++),canada,5.952701,0,24,1,0
4. Statistics,POCO (C++),twitter,0.882932,0,472,2336,0
5. Sax Round-trip,POCO (C++),citm_catalog,23.464976,500752,2514032,1377,0
5. Sax Round-trip,POCO (C++),canada,159.379612,1043344,3824344,326653,0
5. Sax Round-trip,POCO (C++),twitter,14.848681,462176,1418352,6619,0
6. SaxStatistics,POCO (C++),citm_catalog,13.002222,0,1728264,1366,0
6. SaxStatistics,POCO (C++),canada,60.534323,0,2252136,326641,0
6. SaxStatistics,POCO (C++),twitter,5.995509,0,633000,6608,0
1. Parse,RapidJSON AutoUTF (C++),citm_catalog,7.641994,1114728,1122800,29,0
1. Parse,RapidJSON AutoUTF (C++),canada,12.082960,2870912,3170152,61,0
1. Parse,RapidJSON AutoUTF (C++),twitter,4.536555,786928,792728,25,0
2. Stringify,RapidJSON AutoUTF (C++),citm_catalog,3.227050,567656,568200,24,0
2. Stringify,RapidJSON AutoUTF (C++),canada,23.165766,2873400,2873944,28,0
2. Stringify,RapidJSON AutoUTF (C++),twitter,2.643717,567656,568200,24,0
3. Prettify,RapidJSON AutoUTF (C++),citm_catalog,9.022670,1915624,1916168,27,0
3. Prettify,RapidJSON AutoUTF (C++),canada,52.729173,9697512,9698056,31,0
3. Prettify,RapidJSON AutoUTF (C++),twitter,4.386671,851432,851976,25,0
4. Statistics,RapidJSON AutoUTF (C++),citm_catalog,0.249262,0,0,0,0
4. Statistics,RapidJSON AutoUTF (C++),canada,0.909502,0,0,0,0
4. Statistics,RapidJSON AutoUTF (C++),twitter,0.126105,0,0,0,0
5. Sax Round-trip,RapidJSON AutoUTF (C++),citm_catalog,10.221981,56,568488,26,0
5. Sax Round-trip,RapidJSON AutoUTF (C++),canada,34.577137,56,2874248,30,0
5. Sax Round-trip,RapidJSON AutoUTF (C++),twitter,6.779909,56,568808,28,0
